CIS_OBEC;NAZ_OBEC;TYP_OBEC;OKRSKY_CELKEM;OKRSKY_ZPRAC;OKRSKY_ZPRAC_PROC;ZAPSANI_VOLICI;VYDANE_OBALKY;UCAST_PROC;ODEVZDANE_OBALKY;PLATNE_HLASY;PLATNE_HLASY_PROC;KSTRANA;HLASY;PROC_HLASU
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;18;7;0.06
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;19;1335;13.31
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;23;6;0.05
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;28;28;0.27
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;33;1292;12.88
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;41;297;2.96
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;42;649;6.47
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;45;247;2.46
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;50;2051;20.45
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;63;415;4.13
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;70;292;2.91
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;71;29;0.28
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;75;26;0.25
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;77;1210;12.06
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;82;22;0.21
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;3;189;0.78
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;5;138;0.57
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;7;3120;13.04
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;16;2186;9.13
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;18;24;0.10
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;19;2796;11.68
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;23;14;0.05
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;28;46;0.19
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;33;2453;10.25
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;41;637;2.66
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;42;1667;6.96
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;45;652;2.72
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;50;5698;23.81
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;63;1222;5.10
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;70;729;3.04
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;71;72;0.30
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;75;74;0.30
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;77;2132;8.91
554804;Ústí nad Labem;OBEC_S_MCMO;98;98;100.00;72845;24235;33.27;24213;23925;98.81;82;76;0.31
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;3;4;1.86
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;5;5;2.32
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;7;16;7.44
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;16;17;7.90
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;19;30;13.95
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;33;24;11.16
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;41;6;2.79
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;42;10;4.65
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;45;5;2.32
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;50;51;23.72
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;63;22;10.23
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;70;3;1.39
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;75;4;1.86
555223;Velké Chvojno;OBEC_BEZ_MCMO;2;2;100.00;668;215;32.19;215;215;100.00;77;18;8.37
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;5;1;0.48
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;7;25;12.13
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;16;17;8.25
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;19;15;7.28
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;28;2;0.97
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;33;29;14.07
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;41;8;3.88
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;42;8;3.88
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;45;6;2.91
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;50;47;22.81
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;63;19;9.22
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;70;7;3.39
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;71;1;0.48
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;75;13;6.31
567931;Dolní Zálezly;OBEC_BEZ_MCMO;1;1;100.00;485;207;42.68;207;206;99.52;77;8;3.88
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;3;1;1.85
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;5;1;1.85
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;7;3;5.55
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;16;5;9.25
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;19;7;12.96
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;33;3;5.55
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;41;1;1.85
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;42;1;1.85
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;45;1;1.85
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;50;23;42.59
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;63;6;11.11
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;70;1;1.85
567957;Habrovany;OBEC_BEZ_MCMO;1;1;100.00;175;55;31.43;55;54;98.18;77;1;1.85
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;5;1;0.88
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;7;11;9.73
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;16;8;7.07
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;19;12;10.61
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;33;13;11.50
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;42;3;2.65
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;45;4;3.53
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;50;40;35.39
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;63;12;10.61
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;70;2;1.76
567973;Homole u Panny;OBEC_BEZ_MCMO;1;1;100.00;297;113;38.05;113;113;100.00;75;3;2.65
